"scenario","run","method","ARI","NMI","seconds"
"standard",13,"longTAPIO-first",0.708610075155124,0.74410506488596,2.14900000000489
"standard",13,"longTAPIO-screened",0.912022546306514,0.914343437518304,2.31100000000151
"standard",13,"clusterMLD",1,1,1.71800000000803
"standard",13,"kml3d",0.960338099219033,0.946961268985173,0.302999999999884
"standard",14,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.25500000000466
"standard",14,"longTAPIO-random_weighted_95",0.900610462827998,0.906686961032429,2.14500000000407
"standard",14,"longTAPIO-first",0.744476851817381,0.753030036298508,2.17999999999302
"standard",14,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.25500000000466
"standard",14,"clusterMLD",1,1,1.72800000000279
"standard",14,"kml3d",0.986598879940902,0.982247792620475,0.29299999999057
"standard",15,"longTAPIO-random_weighted",0.923009137782033,0.913931564223106,2.17300000000978
"standard",15,"longTAPIO-random_weighted_95",0.947079615562234,0.934138336728197,2.19300000001385
"standard",15,"longTAPIO-first",0.7384995228545,0.753585473709079,2.30299999999988
"standard",15,"longTAPIO-screened",0.923009137782033,0.913931564223106,2.17300000000978
"standard",15,"clusterMLD",1,1,1.72299999999814
"standard",15,"kml3d",0.986598879940902,0.982247792620475,0.301999999996042
"standard",16,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.21499999999651
"standard",16,"longTAPIO-random_weighted_95",0.973333124730886,0.964567724802747,2.34500000000116
"standard",16,"longTAPIO-first",0.767578554126553,0.790040879058902,2.13999999999942
"standard",16,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.21499999999651
"standard",16,"clusterMLD",1,1,1.74300000000221
"standard",16,"kml3d",0.960608828917197,0.951961268985173,0.307000000000698
"standard",17,"longTAPIO-random_weighted",1,1,2.26600000000326
"standard",17,"longTAPIO-random_weighted_95",0.986598879940902,0.982247792620475,2.14400000000023
"standard",17,"longTAPIO-first",0.651527059634609,0.698224864737994,2.16999999999825
"standard",17,"longTAPIO-screened",1,1,2.26600000000326
"standard",17,"clusterMLD",1,1,1.72499999999127
"standard",17,"kml3d",1,1,0.298000000009779
"standard",18,"longTAPIO-random_weighted",1,1,2.14400000000023
"standard",18,"longTAPIO-random_weighted_95",1,1,2.16999999999825
"standard",18,"longTAPIO-first",0.683362251914229,0.719282080222014,2.18499999999767
"standard",18,"longTAPIO-screened",1,1,2.14400000000023
"standard",18,"clusterMLD",1,1,1.8640000000014
"standard",18,"kml3d",0.986598879940902,0.982247792620475,0.302999999999884
"standard",19,"longTAPIO-random_weighted",1,1,2.20499999998719
"standard",19,"longTAPIO-random_weighted_95",1,1,2.33999999999651
"standard",19,"longTAPIO-first",0.68859348722734,0.763416279453151,2.14400000000023
"standard",19,"longTAPIO-screened",1,1,2.20499999998719
"standard",19,"clusterMLD",1,1,1.74799999999232
"standard",19,"kml3d",0.986598879940902,0.982247792620475,0.30800000000454
"standard",20,"longTAPIO-random_weighted",1,1,2.30899999999383
"standard",20,"longTAPIO-random_weighted_95",1,1,2.15200000000186
"standard",20,"longTAPIO-first",0.800523412694112,0.79948923290358,2.14599999999336
"standard",20,"longTAPIO-screened",1,1,2.30899999999383
"standard",20,"clusterMLD",1,1,1.84999999999127
"standard",20,"kml3d",1,1,0.292000000001281
"standard",21,"longTAPIO-random_weighted",0.960630467282476,0.958419782247625,2.22100000000501
"standard",21,"longTAPIO-random_weighted_95",1,1,2.33699999999953
"standard",21,"longTAPIO-first",0.857909865217559,0.854229062575439,2.15000000000873
"standard",21,"longTAPIO-screened",0.960630467282476,0.958419782247625,2.22100000000501
"standard",21,"clusterMLD",1,1,1.72699999999895
"standard",21,"kml3d",1,1,0.290999999997439
"standard",22,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.30299999999988
"standard",22,"longTAPIO-random_weighted_95",1,1,2.15499999999884
"standard",22,"longTAPIO-first",0.895592510315048,0.877363467658124,2.15999999998894
"standard",22,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.30299999999988
"standard",22,"clusterMLD",1,1,1.72400000000198
"standard",22,"kml3d",0.986598879940902,0.982247792620475,0.298999999999069
"standard",23,"longTAPIO-random_weighted",1,1,2.25
"standard",23,"longTAPIO-random_weighted_95",1,1,2.14199999999255
"standard",23,"longTAPIO-first",0.504755781064162,0.570288692137665,2.15600000000268
"standard",23,"longTAPIO-screened",1,1,2.25
"standard",23,"clusterMLD",1,1,1.73699999999371
"standard",23,"kml3d",0.947635388965987,0.940879803921654,0.296000000002095
"standard",24,"longTAPIO-random_weighted",1,1,2.16100000000733
"standard",24,"longTAPIO-random_weighted_95",0.97347395681731,0.969424860363499,2.17399999999907
"standard",24,"longTAPIO-first",0.832765509789784,0.819796352037591,2.2960000000021
"standard",24,"longTAPIO-screened",1,1,2.16100000000733
"standard",24,"clusterMLD",1,1,1.72500000000582
"standard",24,"kml3d",1,1,0.295000000012806
"standard",25,"longTAPIO-random_weighted",1,1,2.21700000000419
"standard",25,"longTAPIO-random_weighted_95",1,1,2.33100000000559
"standard",25,"longTAPIO-first",0.824963995672694,0.821342090136858,2.14099999998871
"standard",25,"longTAPIO-screened",1,1,2.21700000000419
"standard",25,"clusterMLD",1,1,1.73300000000745
"standard",25,"kml3d",1,1,0.295999999987544
"standard",26,"longTAPIO-random_weighted",0.986598879940902,0.982247792620475,2.30599999999686
"standard",26,"longTAPIO-random_weighted_95",0.986598879940902,0.982247792620475,2.14699999999721
"standard",26,"longTAPIO-first",0.681802697476914,0.708593988074233,2.15499999999884
"standard",26,"longTAPIO-screened",0.986598879940902,0.982247792620475,2.30599999999686
"standard",26,"clusterMLD",1,1,1.72000000000116
"standard",26,"kml3d",0.911925890724715,0.910439424307973,0.294999999998254
"standard",27,"longTAPIO-random_weighted",0.960343548234616,0.951818404545925,2.12600000000384
"standard",27,"longTAPIO-random_weighted_95",0.973333124730886,0.964567724802747,2.14500000000407
"standard",27,"longTAPIO-first",0.395920228213589,0.454691013733661,2.15799999999581
"standard",27,"longTAPIO-screened",0.960343548234616,0.951818404545925,2.12600000000384
"standard",27,"clusterMLD",1,1,1.86599999999453
"standard",27,"kml3d",0.986598879940902,0.982247792620475,0.298999999999069
"standard",28,"longTAPIO-random_weighted",1,1,2.19499999999243
"standard",28,"longTAPIO-random_weighted_95",1,1,2.3640000000014
"standard",28,"longTAPIO-first",0.910671126126891,0.904593101193578,2.14400000000023
"standard",28,"longTAPIO-screened",1,1,2.19499999999243
"standard",28,"clusterMLD",1,1,1.73999999999069
"standard",28,"kml3d",0.986598879940902,0.982247792620475,0.297999999995227
"standard",29,"longTAPIO-random_weighted",1,1,2.32600000000093
"standard",29,"longTAPIO-random_weighted_95",0.960630467282476,0.958419782247625,2.14500000000407
